task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	51/fe4a66	5354378	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2026-02-26 10:00:47.617	1m 38s	1m 35s	9.2%	6 MB	12 MB	2.9 GB	5.8 KB
2	69/d0410b	5354377	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa)	COMPLETED	0	2026-02-26 10:00:47.597	2m 58s	2m 52s	7.1%	18.4 MB	23 MB	3.8 GB	799.4 MB
6	0b/39a584	5354383	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ND0463)	COMPLETED	0	2026-02-26 10:00:47.719	3m 43s	3m 32s	166.0%	1.6 GB	6.1 GB	4 GB	3.9 MB
12	07/447daa	5354401	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome.filtered.gtf)	COMPLETED	0	2026-02-26 10:03:45.910	59.7s	53s	34.9%	2.4 GB	2.5 GB	799.6 MB	22.2 MB
5	3d/dd6ab9	5354380	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ND0323)	COMPLETED	0	2026-02-26 10:00:47.659	4m 18s	4m 1s	171.9%	1.5 GB	6.1 GB	3.9 GB	3.9 MB
4	91/3e8f3e	5354379	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ND0013)	COMPLETED	0	2026-02-26 10:00:47.638	4m 43s	4m 34s	171.9%	1.5 GB	6 GB	4.5 GB	3.9 MB
10	82/09ddef	5354382	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ND0693)	COMPLETED	0	2026-02-26 10:00:47.700	4m 43s	4m 30s	158.2%	1.6 GB	6.1 GB	4 GB	3.9 MB
13	ec/93211d	5354402	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa)	COMPLETED	0	2026-02-26 10:03:46.012	2m 10s	1m 48s	31.2%	1.1 GB	1.4 GB	4.3 GB	1.5 GB
9	25/c6509b	5354384	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ND0693)	COMPLETED	0	2026-02-26 10:00:47.739	13m 51s	13m 44s	490.5%	6 GB	7.3 GB	126.3 GB	122.2 GB
7	47/a5239e	5354376	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ND0323)	COMPLETED	0	2026-02-26 10:00:47.576	13m 51s	13m 25s	481.7%	5.9 GB	7.3 GB	121.1 GB	117.1 GB
8	4c/48ded9	5354381	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ND0463)	COMPLETED	0	2026-02-26 10:00:47.679	14m 22s	13m 42s	564.4%	6 GB	7.2 GB	114.4 GB	110.3 GB
3	9e/c43b50	5354375	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ND0013)	COMPLETED	0	2026-02-26 10:00:47.550	16m 46s	16m 19s	457.6%	6 GB	7.4 GB	145.5 GB	140.9 GB
16	f0/edcc49	5354423	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (ND0323)	COMPLETED	0	2026-02-26 10:14:38.606	4m 30s	4m 24s	34.5%	11.4 MB	15.7 MB	4.4 GB	86.8 MB
14	63/02660f	5354424	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (ND0693)	COMPLETED	0	2026-02-26 10:14:38.627	4m 40s	4m 35s	34.0%	11.6 MB	15.9 MB	4.6 GB	86.4 MB
