task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
18	6b/ebbba0	5226788	NFCORE_SAREK:SAREK:FASTQC (ND0323-1)	CACHED	0	2026-02-10 10:19:29.058	1h 21m 7s	1h 21m 3s	101.2%	1.1 GB	3.9 GB	48.3 GB	4.2 MB
6	96/208337	5226791	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_138_mod.b37.vcf)	CACHED	0	2026-02-10 10:19:29.136	57.1s	52s	70.8%	19.2 MB	25.9 MB	1.4 GB	2.2 MB
19	fe/645bbe	5226787	NFCORE_SAREK:SAREK:FASTP (ND0323-1)	CACHED	0	2026-02-10 10:19:29.020	34m 12s	34m 8s	322.0%	2.1 GB	3 GB	48.3 GB	49.2 GB
14	f7/9b6dad	5226796	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_Sarek.list)	CACHED	0	2026-02-10 10:19:29.263	7s	0ms	9.4%	5.3 MB	21 MB	56.8 KB	3 KB
45	3d/4cd1f6	5226918	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0323-1)	CACHED	0	2026-02-10 10:53:42.570	39m 19s	39m 12s	815.3%	25.5 GB	29.7 GB	39.4 GB	34.2 GB
48	39/9aa495	5226919	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0323-1)	CACHED	0	2026-02-10 10:53:42.601	39m 4s	38m 39s	865.8%	25.7 GB	29.7 GB	39.4 GB	34.2 GB
43	f5/3685bd	5226913	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0323-1)	CACHED	0	2026-02-10 10:53:41.501	32m 16s	31m 55s	954.4%	26 GB	29.4 GB	39.4 GB	34.2 GB
55	e1/362315	5226800	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_49405641-180915260)	CACHED	0	2026-02-10 10:19:37.297	4s	0ms	23.5%	3.1 MB	5.4 MB	91.4 KB	3.3 KB
60	a8/61f3fd	5226805	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_46838887-146364022)	CACHED	0	2026-02-10 10:19:39.446	1.9s	1s	62.7%	3.1 MB	5.4 MB	91 KB	3.3 KB
56	3b/d1a2c6	5226799	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_124535434-249250621)	CACHED	0	2026-02-10 10:19:37.040	4.2s	0ms	11.6%	3.1 MB	5.4 MB	91.5 KB	3.4 KB
58	fa/a3f8c3	5226803	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_61830166-171115067)	CACHED	0	2026-02-10 10:19:38.597	2.7s	0ms	60.4%	3.1 MB	5.4 MB	91 KB	3.3 KB
59	c2/8c0b47	5226802	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_93504854-198022430)	CACHED	0	2026-02-10 10:19:38.156	3.2s	0ms	4.1%	3.4 MB	10.8 MB	91.4 KB	3.3 KB
42	09/d6a087	5226914	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0323-1)	CACHED	0	2026-02-10 10:53:41.528	36m 15s	35m 58s	846.9%	26.1 GB	29.5 GB	39.4 GB	34.2 GB
46	38/fe45bf	5226916	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0323-1)	CACHED	0	2026-02-10 10:53:42.096	37m 4s	36m 24s	828.6%	25.9 GB	29.5 GB	39.4 GB	34.2 GB
