# This file was produced by bcftools stats (1.16+htslib-1.16) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  joint_germline.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	joint_germline.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	4793852
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3885879
SN	0	number of MNPs:	0
SN	0	number of indels:	912741
SN	0	number of others:	0
SN	0	number of multiallelic sites:	87489
SN	0	number of multiallelic SNP sites:	1548
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2599602	1287825	2.02	2594565	1282335	2.02
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	2396895	1601823	795072	641145	0	0	641145
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2396895	1601823	795072	641145	0	0	641145
AF	0	0.990000	1490532	997779	492753	336401	0	0	336401
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.0	1	1	0	8
QUAL	0	30.1	0	0	0	4
QUAL	0	30.2	1	0	1	18
QUAL	0	30.3	3	2	1	3
QUAL	0	30.4	13	8	5	29
QUAL	0	30.5	0	0	0	3
QUAL	0	30.6	645	351	294	516
QUAL	0	30.7	4	0	4	2
QUAL	0	30.8	3	1	2	1
QUAL	0	30.9	0	0	0	14
QUAL	0	31.0	2	1	1	11
QUAL	0	31.1	0	0	0	1
QUAL	0	31.2	1	0	1	15
QUAL	0	31.3	1	1	0	1
QUAL	0	31.4	18	11	7	10
QUAL	0	31.5	0	0	0	10
QUAL	0	31.6	1478	846	632	870
QUAL	0	31.7	1	0	1	6
QUAL	0	31.8	17	8	9	1
QUAL	0	31.9	2	2	0	3
QUAL	0	32.0	5	2	3	29
QUAL	0	32.1	1	0	1	7
QUAL	0	32.2	1	0	1	35
QUAL	0	32.3	4	0	4	2
QUAL	0	32.4	17	10	7	13
QUAL	0	32.5	0	0	0	3
QUAL	0	32.6	681	352	329	483
QUAL	0	32.7	2	2	0	9
QUAL	0	32.8	3	0	3	14
QUAL	0	32.9	2	1	1	9
QUAL	0	33.0	2	0	2	10
QUAL	0	33.1	2	0	2	9
QUAL	0	33.2	5	5	0	37
QUAL	0	33.3	6	4	2	0
QUAL	0	33.4	29	21	8	9
QUAL	0	33.5	2	2	0	5
QUAL	0	33.6	652	386	266	519
QUAL	0	33.7	0	0	0	1
QUAL	0	33.8	1	0	1	7
QUAL	0	33.9	2	2	0	3
QUAL	0	34.0	2	1	1	6
QUAL	0	34.1	8	5	3	14
QUAL	0	34.2	0	0	0	101
QUAL	0	34.3	4	4	0	1
QUAL	0	34.4	56	32	24	221
QUAL	0	34.5	3	2	1	2
QUAL	0	34.6	1309	726	583	644
QUAL	0	34.7	2	1	1	6
QUAL	0	34.8	0	0	0	18
QUAL	0	34.9	1	0	1	8
QUAL	0	35.0	0	0	0	15
QUAL	0	35.1	0	0	0	4
QUAL	0	35.2	1	0	1	147
QUAL	0	35.3	7	5	2	3
QUAL	0	35.4	735	400	335	728
QUAL	0	35.5	3	1	2	3
QUAL	0	35.6	607	332	275	506
