## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM-SV_T/ANALYSIS/20260216_ANALYSIS01_GENOME/ANALYSIS_WGS/01-sarek_ND0013/preprocessing/recalibrated/ND0013/ND0013.recal.cram --OUTPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM-SV_T/ANALYSIS/20260216_ANALYSIS01_GENOME/ANALYSIS_WGS/99-stats/ND0013_wgsMetrics.out --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE /data/ucct/bi/references/eukaria/homo_sapiens/hg19/1000genomes_b37/genome/human_g1k_v37_decoy.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 05 11:05:13 GMT 2026

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2900340137	25.406553	8.368815	26	4	0	0.029489	0.090331	0.000093	0.012015	0.147393	0.00409	0.283412	0.975024	0.970988	0.959099	0.921721	0.836363	0.603379	0.282429	0.015844	0.00262	0.001612	0.001081	0.000794	0.000615	0.000501	1.209836	1.58791	2.309687	0.973062	16

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	72437577
1	3768816
2	2771628
3	2514782
4	2652802
5	3200628
6	4345399
7	6185885
8	8774674
9	11974470
10	15435838
11	18804743
12	21883731
13	24674358
14	27611469
15	31528709
16	37375717
17	46105296
18	58313264
19	74244556
20	93330569
21	114586675
22	136446371
23	157049390
24	174318441
25	186568170
26	192814252
27	192446764
28	185660819
29	173375400
30	156923728
31	137665331
32	117253921
33	97031894
34	78121839
35	61223358
36	46740144
37	34833232
38	25364126
39	18028565
40	12574018
41	8623768
42	5821269
43	3884057
44	2583913
45	1734487
46	1185396
47	835289
48	620973
49	489563
50	408338
51	358549
52	325803
53	303227
54	288985
55	273993
56	260611
57	248156
58	235113
59	222078
60	208190
61	193654
62	180512
63	168889
64	156333
65	144684
66	134345
67	125734
68	117220
69	110616
70	104192
71	98831
72	93183
73	88617
74	84175
75	79286
76	75606
77	72390
78	69144
79	66230
80	63444
81	60349
82	57460
83	55074
84	52268
85	50165
86	47952
87	46093
88	43930
89	41779
90	40133
91	38589
92	36928
93	34825
94	33205
95	32152
96	30674
97	29567
98	28637
99	27804
100	26967
101	25918
102	25390
103	24712
104	24210
105	23762
106	23126
107	23063
108	23032
109	22659
110	22754
111	22564
112	22675
113	22479
114	22608
115	22037
116	22083
117	22660
118	23208
119	23325
120	23305
121	23038
122	22814
123	23193
124	22873
125	22941
126	22906
127	22617
128	22352
129	22200
130	21788
131	21581
132	21259
133	21093
134	20845
135	20071
136	19369
137	18676
138	18274
139	17524
140	16704
141	16132
142	15443
143	14446
144	13869
145	13334
146	12747
147	12259
148	11815
149	11176
150	10595
151	9655
152	9274
153	8825
154	8319
155	7880
156	7505
157	7181
158	6813
159	6455
160	6078
161	5984
162	5733
163	5502
164	5234
165	4948
166	4530
167	4231
168	3933
169	3919
170	3777
171	3580
172	3382
173	3168
174	3008
175	2879
176	2777
177	2523
178	2525
179	2375
180	2226
181	2148
182	2083
183	1958
184	1909
185	1857
186	1814
187	1775
188	1607
189	1580
190	1493
191	1429
192	1420
193	1407
194	1327
195	1299
196	1217
197	1156
198	1187
199	1079
200	1036
201	1022
202	1000
203	962
204	925
205	915
206	902
207	823
208	872
209	811
210	820
211	750
212	742
213	749
214	729
215	668
216	665
217	641
218	624
219	633
220	619
221	565
222	552
223	581
224	585
225	525
226	551
227	558
228	566
229	551
230	526
231	509
232	524
233	496
234	512
235	434
236	478
237	469
238	504
239	487
240	511
241	530
242	505
243	544
244	506
245	488
246	437
247	509
248	485
249	426
250	190104

