## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM-SV_T/ANALYSIS/20260216_ANALYSIS01_GENOME/ANALYSIS_WGS/01-sarek_ND0323/preprocessing/recalibrated/ND0323/ND0323.recal.cram --OUTPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM-SV_T/ANALYSIS/20260216_ANALYSIS01_GENOME/ANALYSIS_WGS/99-stats/ND0323_wgsMetrics.out --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE /data/ucct/bi/references/eukaria/homo_sapiens/hg19/1000genomes_b37/genome/human_g1k_v37_decoy.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 05 11:05:14 GMT 2026

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2900340137	25.696578	8.462319	26	4	0.000002	0.029251	0.090768	0.000116	0.01206	0.158717	0.003915	0.29483	0.975235	0.971066	0.959218	0.92236	0.840995	0.618939	0.303392	0.019847	0.002422	0.00142	0.000939	0.00068	0.000527	0.000434	1.223647	1.606036	2.336053	0.973233	16

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	71826379
1	3926841
2	2867226
3	2592498
4	2705054
5	3235041
6	4353914
7	6166491
8	8723967
9	11884166
10	15324059
11	18664177
12	21602394
13	24291999
14	27017963
15	30572704
16	35915350
17	43951865
18	55332657
19	70213210
20	88255437
21	108622176
22	129815230
23	149966216
24	167380300
25	180367543
26	187772420
27	189023769
28	184179044
29	173849367
30	159255905
31	141574519
32	122354934
33	102884134
34	84333732
35	67409876
36	52586336
37	40107660
38	29948830
39	21922946
40	15752045
41	11132779
42	7760156
43	5343719
44	3654801
45	2495709
46	1715237
47	1193137
48	855330
49	634081
50	490795
51	396709
52	337508
53	297684
54	270765
55	251311
56	234559
57	221375
58	209654
59	195705
60	183334
61	172840
62	161411
63	152031
64	141805
65	132019
66	124681
67	116121
68	109099
69	103351
70	97582
71	91339
72	85376
73	80257
74	76298
75	71832
76	67698
77	63267
78	60121
79	57398
80	54907
81	52209
82	49504
83	47088
84	45222
85	43303
86	41066
87	38675
88	36732
89	34673
90	32867
91	31207
92	30086
93	28707
94	27473
95	25913
96	24399
97	23268
98	22119
99	21419
100	20323
101	20003
102	18877
103	18417
104	17745
105	17164
106	16962
107	16861
108	16424
109	16395
110	15925
111	15796
112	15818
113	15921
114	15872
115	16009
116	16146
117	16292
118	16354
119	16207
120	16137
121	15981
122	15885
123	15715
124	15748
125	16079
126	15964
127	16289
128	16160
129	16533
130	16191
131	15942
132	15982
133	16069
134	15760
135	15649
136	15441
137	14973
138	14886
139	14702
140	14519
141	13945
142	13631
143	13098
144	12585
145	12199
146	11899
147	11296
148	10987
149	10725
150	10335
151	10260
152	9672
153	9313
154	9169
155	8710
156	8457
157	8025
158	7607
159	7188
160	7023
161	6971
162	6657
163	6446
164	6158
165	6095
166	5700
167	5571
168	5325
169	5133
170	5099
171	4832
172	4720
173	4689
174	4375
175	4266
176	4110
177	3837
178	3676
179	3558
180	3380
181	3201
182	3000
183	2904
184	2752
185	2701
186	2604
187	2564
188	2473
189	2450
190	2177
191	2231
192	2145
193	2147
194	2130
195	2046
196	1959
197	1956
198	1817
199	1864
200	1770
201	1798
202	1737
203	1645
204	1485
205	1520
206	1457
207	1413
208	1446
209	1396
210	1332
211	1303
212	1256
213	1191
214	1194
215	1167
216	1123
217	1036
218	1036
219	1031
220	947
221	1015
222	915
223	984
224	969
225	893
226	875
227	906
228	821
229	810
230	820
231	775
232	793
233	600
234	683
235	659
236	614
237	654
238	663
239	658
240	621
241	618
242	572
243	543
244	540
245	567
246	553
247	514
248	555
249	551
250	189069

