## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM-SV_T/ANALYSIS/20260216_ANALYSIS01_GENOME/ANALYSIS_WGS/01-sarek_ND0463/preprocessing/recalibrated/ND0463/ND0463.recal.cram --OUTPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM-SV_T/ANALYSIS/20260216_ANALYSIS01_GENOME/ANALYSIS_WGS/99-stats/ND0463_wgsMetrics.out --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE /data/ucct/bi/references/eukaria/homo_sapiens/hg19/1000genomes_b37/genome/human_g1k_v37_decoy.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 11:25:48 GMT 2026

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2900340137	28.77397	8.844518	29	4	0.000002	0.025749	0.073404	0.000132	0.016528	0.13513	0.003238	0.254183	0.970007	0.966408	0.962938	0.956412	0.924312	0.782603	0.487891	0.053383	0.003901	0.001904	0.001257	0.000942	0.000752	0.000616	1.198915	1.370189	1.798373	0.968461	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	86989617
1	3695692
2	2572306
3	2174966
4	1995613
5	1922323
6	1907829
7	1952652
8	2049640
9	2232070
10	2490090
11	2871831
12	3451666
13	4353444
14	5760856
15	7977158
16	11387419
17	16458588
18	23711600
19	33565053
20	46282547
21	61970135
22	80352041
23	100646139
24	121752713
25	142282957
26	160728698
27	175620063
28	185766493
29	190368662
30	189256844
31	182618054
32	171171779
33	156023973
34	138463233
35	119732241
36	100899946
37	82978546
38	66681811
39	52395234
40	40272950
41	30350869
42	22430775
43	16278718
44	11622137
45	8191827
46	5719737
47	3971232
48	2755223
49	1921316
50	1362107
51	988750
52	743423
53	582368
54	475725
55	405342
56	354318
57	318671
58	291965
59	268805
60	252726
61	236026
62	219838
63	204809
64	191151
65	177943
66	166411
67	154567
68	141954
69	130911
70	121724
71	113172
72	105055
73	97580
74	91113
75	85817
76	80540
77	76267
78	72558
79	68267
80	65013
81	62494
82	60383
83	58027
84	56595
85	54283
86	52065
87	49802
88	47820
89	46427
90	44702
91	43298
92	41906
93	40841
94	39587
95	38867
96	37413
97	36603
98	36038
99	35441
100	34775
101	33419
102	32956
103	32142
104	31853
105	30772
106	30280
107	29070
108	28650
109	27587
110	27421
111	27023
112	26252
113	26076
114	25589
115	24895
116	24013
117	23541
118	22923
119	22253
120	21695
121	21121
122	20362
123	20214
124	19600
125	18983
126	18795
127	18412
128	17804
129	17716
130	17353
131	16767
132	16513
133	15991
134	15669
135	15636
136	15748
137	15757
138	15264
139	15487
140	15179
141	15180
142	15211
143	15051
144	15182
145	15036
146	15083
147	15232
148	14994
149	15379
150	14901
151	14946
152	14377
153	14572
154	14201
155	13794
156	13396
157	12997
158	12696
159	12203
160	12103
161	11687
162	11316
163	10810
164	10627
165	10283
166	10211
167	9890
168	9743
169	9240
170	8699
171	8525
172	7974
173	7955
174	7701
175	7606
176	7309
177	6958
178	6663
179	6611
180	6285
181	6078
182	5757
183	5651
184	5465
185	5213
186	5149
187	4881
188	4818
189	4634
190	4362
191	4314
192	4054
193	3938
194	3745
195	3540
196	3476
197	3382
198	3249
199	3146
200	3105
201	2890
202	2846
203	2774
204	2637
205	2557
206	2468
207	2391
208	2292
209	2135
210	2019
211	2026
212	1986
213	1932
214	1934
215	1900
216	1789
217	1702
218	1699
219	1594
220	1610
221	1709
222	1674
223	1571
224	1571
225	1595
226	1648
227	1650
228	1596
229	1650
230	1556
231	1619
232	1550
233	1483
234	1472
235	1523
236	1464
237	1426
238	1382
239	1394
240	1329
241	1400
242	1428
243	1440
244	1378
245	1415
246	1386
247	1383
248	1402
249	1456
250	216452

