task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	14/b9d520	5242415	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_138_mod.b37.vcf)	CACHED	0	2026-02-18 15:14:07.430	52.9s	47s	58.4%	20 MB	26.8 MB	1.4 GB	2.2 MB
3	64/886a5d	5244882	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (truseq-rapid-exome-targeted-regions-manifest-v1-2.chr_mod2_clean.bed)	COMPLETED	0	2026-02-18 18:44:01.436	3.1s	0ms	58.6%	6.3 MB	22.2 MB	4.3 MB	4.3 MB
25	87/7ecc7c	5244885	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (11_124179734-124180664)	COMPLETED	0	2026-02-18 18:44:07.393	2.2s	0ms	50.8%	3.1 MB	5.4 MB	173.3 KB	30.8 KB
23	fe/856369	5244887	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (13_73318622-73318721)	COMPLETED	0	2026-02-18 18:44:07.428	2.1s	0ms	51.3%	3.1 MB	5.4 MB	173.1 KB	29.3 KB
20	1a/0b4d93	5244886	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_19927404-19927503)	COMPLETED	0	2026-02-18 18:44:07.410	2.1s	0ms	64.9%	3 MB	5.4 MB	168.2 KB	28.4 KB
22	1f/72e5b0	5244889	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (9_130494311-130494559)	COMPLETED	0	2026-02-18 18:44:07.460	2.1s	0ms	51.9%	3 MB	5.4 MB	176.3 KB	29.4 KB
24	0c/05746f	5244890	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (19_38315702-38315801)	COMPLETED	0	2026-02-18 18:44:07.477	2.1s	0ms	38.1%	3.2 MB	5.4 MB	162.3 KB	24.7 KB
27	79/97e9f4	5244891	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (19_15383624-15383912)	COMPLETED	0	2026-02-18 18:44:07.493	2.1s	0ms	48.5%	3 MB	5.4 MB	159.9 KB	24.9 KB
21	ba/a40768	5244888	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (11_64066816-64067296)	COMPLETED	0	2026-02-18 18:44:07.445	2.1s	0ms	57.5%	3.1 MB	5.4 MB	171.4 KB	28.2 KB
26	79/cd606b	5244892	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_158548707-158549691)	COMPLETED	0	2026-02-18 18:44:07.511	2s	0ms	59.6%	3.1 MB	5.4 MB	173 KB	29.8 KB
35	1f/4c49df	5244893	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_145293105-145293204)	COMPLETED	0	2026-02-18 18:44:07.528	2s	0ms	41.3%	3.2 MB	5.4 MB	171.4 KB	26.6 KB
