chrom	length	bases	mean	min	max
1	249250621	526832694	2.11	0	1547
1_region	4526155	291624086	64.43	0	1547
2	243199373	366848958	1.51	0	2278
2_region	3341081	183890681	55.04	0	577
3	198022430	269050592	1.36	0	1249
3_region	2544649	130117137	51.13	0	366
4	191154276	236181108	1.24	0	2017
4_region	1760274	114424437	65.00	0	2017
5	180915260	250468407	1.38	0	990
5_region	2045078	116239983	56.84	0	659
6	171115067	249810423	1.46	0	986
6_region	2274727	130037664	57.17	0	986
7	159138663	264983737	1.67	0	861
7_region	2191908	128670671	58.70	0	826
8	146364022	216317041	1.48	0	2097
8_region	1571772	96371251	61.31	0	1870
9	141213431	211776783	1.50	0	603
9_region	1852022	110000483	59.39	0	603
10	135534747	208262274	1.54	0	703
10_region	1823673	104943908	57.55	0	703
11	135006516	248472073	1.84	0	736
11_region	2631843	141270028	53.68	0	614
12	133851895	232621859	1.74	0	490
12_region	2360110	125176518	53.04	0	490
13	115169878	100130798	0.87	0	659
13_region	800934	41144617	51.37	0	659
14	107349540	150533389	1.40	0	544
14_region	1496259	79998180	53.47	0	544
15	102531392	209906560	2.05	0	687
15_region	1632199	108053191	66.20	0	687
16	90354753	220100356	2.44	0	748
16_region	1960506	122391671	62.43	0	748
17	81195210	241123326	2.97	0	768
17_region	2547472	144959160	56.90	0	768
18	78077248	86591149	1.11	0	977
18_region	696089	39340624	56.52	0	977
19	59128983	214161007	3.62	0	557
19_region	2851205	141586637	49.66	0	557
20	63025520	101031548	1.60	0	404
20_region	1061536	53450071	50.35	0	404
21	48129895	49666128	1.03	0	509
21_region	446392	22858952	51.21	0	418
22	51304566	101198522	1.97	0	664
22_region	972488	55047957	56.61	0	664
X	155270560	123557154	0.80	0	539
X_region	1773696	63367940	35.73	0	539
Y	59373566	35585570	0.60	0	830
Y_region	153417	13095860	85.36	0	830
MT	16569	1310227	79.08	3	1709
MT_region	11333	658324	58.09	19	149
GL000207.1	4262	4624	1.08	0	6
GL000207.1_region	0	0	0.00	0	0
GL000226.1	15008	473744	31.57	0	127
GL000226.1_region	0	0	0.00	0	0
GL000229.1	19913	146557	7.36	0	109
GL000229.1_region	0	0	0.00	0	0
GL000231.1	27386	45351	1.66	0	60
GL000231.1_region	0	0	0.00	0	0
GL000210.1	27682	9598	0.35	0	5
GL000210.1_region	0	0	0.00	0	0
GL000239.1	33824	55737	1.65	0	16
GL000239.1_region	0	0	0.00	0	0
GL000235.1	34474	70891	2.06	0	254
GL000235.1_region	0	0	0.00	0	0
GL000201.1	36148	116296	3.22	0	101
GL000201.1_region	0	0	0.00	0	0
GL000247.1	36422	39187	1.08	0	106
GL000247.1_region	0	0	0.00	0	0
GL000245.1	36651	35297	0.96	0	13
GL000245.1_region	0	0	0.00	0	0
GL000197.1	37175	36268	0.98	0	68
GL000197.1_region	0	0	0.00	0	0
GL000203.1	37498	8487	0.23	0	4
GL000203.1_region	0	0	0.00	0	0
GL000246.1	38154	49484	1.30	0	93
GL000246.1_region	0	0	0.00	0	0
GL000249.1	38502	30384	0.79	0	53
GL000249.1_region	0	0	0.00	0	0
GL000196.1	38914	25929	0.67	0	33
GL000196.1_region	0	0	0.00	0	0
GL000248.1	39786	13104	0.33	0	6
GL000248.1_region	0	0	0.00	0	0
GL000244.1	39929	97179	2.43	0	149
GL000244.1_region	0	0	0.00	0	0
GL000238.1	39939	286104	7.16	0	177
GL000238.1_region	0	0	0.00	0	0
GL000202.1	40103	18106	0.45	0	5
GL000202.1_region	0	0	0.00	0	0
GL000234.1	40531	84376	2.08	0	207
GL000234.1_region	0	0	0.00	0	0
GL000232.1	40652	77299	1.90	0	156
GL000232.1_region	0	0	0.00	0	0
GL000206.1	41001	11936	0.29	0	4
GL000206.1_region	0	0	0.00	0	0
GL000240.1	41933	36008	0.86	0	42
GL000240.1_region	0	0	0.00	0	0
GL000236.1	41934	84695	2.02	0	155
GL000236.1_region	0	0	0.00	0	0
