## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/REFERENCES/MedExome_hg19_capture_plus50pb_targets.interval_list --TARGET_INTERVALS /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/REFERENCES/MedExome_hg19_capture_plus50pb_targets.interval_list --INPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/ANALYSIS/ANALYSIS01_EXOME/20260218_ANALYSIS01_EXOME/01-sarek_ND0013/preprocessing/recalibrated/ND0013/ND0013.recal.cram --OUTPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/ANALYSIS/ANALYSIS01_EXOME/20260218_ANALYSIS01_EXOME/99-stats/ND0013_hsMetrics.out --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE /data/ucct/bi/references/eukaria/homo_sapiens/hg19/1000genomes_b37/genome/human_g1k_v37_decoy.fasta --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 11:31:12 GMT 2026

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
MedExome_hg19_capture_plus50pb_targets	66995240	1	13088151883	1239854838	0	1	0	0.913466	195.35943	0.910796	0.481067	42.778548	166096659	3.970573	4.080216	4.205523	4.341272	4.489552	5.492006	66995240	3137454505	96879672	96879672	14370018222	84029149	84028112	14328006721	12429324640	6912942327	1	0.867356	0.999988	103.185574	89	2481	0	0.00951	0.132515	0	0.031775	0.036952	0.257304	0.058988	2.149699	0.98603	0.984146	0.9725	0.951218	0.913936	0.858564	0.790397	0.426253	0.030472	0.007429	0.000579	0	0	0	0	0	0	1.138982	1.613836	0.982424	18			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	935897	0
1	126234	0
2	103532	0
3	96908	0
4	92405	0
5	93092	0
6	94135	2006904
7	96457	8332680
8	99594	6609833
9	104131	20739356
10	108847	37746442
11	115891	62728868
12	121604	65204106
13	128961	51500617
14	136705	35005623
15	144525	38249434
16	151767	30485469
17	161751	30368662
18	172154	28976621
19	183566	17486802
20	195298	17148054
21	205098	10992079
22	218005	18578560
23	229517	16717012
24	243134	21266963
25	256474	20409767
26	267728	39623787
27	281830	37006725
28	294478	76566888
29	306175	111180490
30	318603	405671175
31	331695	419417763
32	344673	94265178
33	356151	518151424
34	366266	808042121
35	377684	794518701
36	389827	753995836
37	398782	550739708
38	408830	1061984448
39	417131	583616659
40	425276	2001244
41	432813	0
42	440657	0
43	448825	0
44	455517	0
45	462559	0
46	467839	0
47	473254	0
48	477886	0
49	482273	0
50	485387	0
51	490393	0
52	491646	0
53	496692	0
54	499149	0
55	499987	0
56	502397	0
57	503348	0
58	504622	0
59	505857	0
60	506971	0
61	506805	0
62	507368	0
63	508510	0
64	509931	0
65	510158	0
66	508910	0
67	510161	0
68	508090	0
69	507951	0
70	507872	0
71	506448	0
72	505435	0
73	505643	0
74	502424	0
75	500901	0
76	501001	0
77	498223	0
78	496140	0
79	496043	0
80	491772	0
81	488618	0
82	485978	0
83	486386	0
84	482832	0
85	479987	0
86	477628	0
87	473460	0
88	471185	0
89	467628	0
90	465681	0
91	462852	0
92	459498	0
93	455443	0
94	453686	0
95	449518	0
96	446311	0
97	441642	0
98	437496	0
99	433845	0
100	429750	0
101	427034	0
102	422376	0
103	420624	0
104	416601	0
105	412510	0
106	408398	0
107	405462	0
108	402463	0
109	396537	0
110	392978	0
111	389329	0
112	384405	0
113	380354	0
114	376860	0
115	372462	0
116	367052	0
117	364029	0
118	360404	0
119	357191	0
120	351946	0
121	348679	0
122	344030	0
123	338539	0
124	335363	0
125	330267	0
126	326447	0
127	323252	0
128	317780	0
129	314105	0
130	309475	0
131	306257	0
132	302198	0
133	298059	0
134	293534	0
135	288379	0
136	284372	0
137	280170	0
138	276044	0
139	271400	0
140	268784	0
141	264673	0
142	259898	0
143	256113	0
144	253067	0
145	247887	0
146	245352	0
147	241375	0
148	236741	0
149	232865	0
150	229000	0
151	224839	0
152	221435	0
153	217692	0
154	213835	0
155	211121	0
156	207737	0
157	203095	0
158	199358	0
159	196266	0
160	193044	0
161	188760	0
162	186636	0
163	182234	0
164	178423	0
165	175329	0
166	171878	0
167	168888	0
168	164991	0
169	162416	0
170	158793	0
171	155711	0
172	152646	0
173	149797	0
174	146614	0
175	144784	0
176	140978	0
177	137474	0
178	135193	0
179	132577	0
180	129141	0
181	126878	0
182	124225	0
183	121090	0
184	118547	0
185	116163	0
186	113628	0
187	111224	0
188	109256	0
189	106348	0
190	104783	0
191	101793	0
192	99598	0
193	97689	0
194	95449	0
195	93717	0
196	91128	0
197	88841	0
198	86891	0
199	84757	0
200	4450337	0

