## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/REFERENCES/truseq-rapid-exome-targeted-regions-manifest-v1-2.chr_mod2.interval_list --TARGET_INTERVALS /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/REFERENCES/truseq-rapid-exome-targeted-regions-manifest-v1-2.chr_mod2.interval_list --INPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/ANALYSIS/ANALYSIS01_EXOME/20260218_ANALYSIS01_EXOME/01-sarek_ND0323/preprocessing/recalibrated/ND0323/ND0323.recal.cram --OUTPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/ANALYSIS/ANALYSIS01_EXOME/20260218_ANALYSIS01_EXOME/99-stats/ND0323_hsMetrics.out --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE /data/ucct/bi/references/eukaria/homo_sapiens/hg19/1000genomes_b37/genome/human_g1k_v37_decoy.fasta --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 11:31:13 GMT 2026

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
truseq-rapid-exome-targeted-regions-manifest-v1-2	45326818	1	6066080608	730918781	0	1	0	0.892464	133.829836	0.890711	0.316725	61.775056	30924496	5.27965	8.444853	-1	-1	-1	-1	45326818	3137454505	91168554	91168554	6810378548	47700430	47696169	6796999389	3543097001	2157019329	1	0.523211	0.999911	47.588148	41	1425	0	0.016439	0.478726	0	0.068013	0.011157	0.076603	0.048153	2.504639	0.972013	0.964901	0.903266	0.790783	0.655728	0.521333	0.401723	0.081037	0.000284	0.000015	0.000003	0	0	0	0	0	0	4.748056	3.384575	0.955716	14			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1268566	0
1	322343	0
2	299323	0
3	303488	0
4	319043	0
5	333984	0
6	354091	0
7	374939	98334
8	394036	142393
9	414829	1966978
10	436016	1786442
11	455548	553966
12	471545	2922783
13	488496	4714315
14	504663	14832471
15	520527	13620033
16	536089	6700557
17	551781	5821665
18	561664	5456078
19	572175	8070614
20	583697	2970506
21	592775	2410892
22	601476	2934736
23	610319	2402290
24	617508	1913210
25	622129	2082348
26	622782	5101312
27	623393	10110492
28	623567	13185404
29	623961	36853444
30	623248	27853625
31	622744	54650098
32	621866	92869898
33	619146	149732085
34	613534	191314631
35	608018	375122771
36	604953	439963644
37	599944	354411667
38	592531	139289388
39	585714	197499347
40	577750	51763677
41	570718	0
42	562649	0
43	555276	0
44	547916	0
45	538883	0
46	530501	0
47	522412	0
48	513118	0
49	502338	0
50	493854	0
51	482640	0
52	474753	0
53	465685	0
54	455932	0
55	446537	0
56	435694	0
57	427494	0
58	417782	0
59	408654	0
60	399355	0
61	390202	0
62	380612	0
63	372350	0
64	363906	0
65	354847	0
66	344940	0
67	337466	0
68	329036	0
69	321161	0
70	310530	0
71	304131	0
72	296100	0
73	289059	0
74	280577	0
75	273230	0
76	265717	0
77	259109	0
78	252687	0
79	244611	0
80	237696	0
81	231454	0
82	224258	0
83	217989	0
84	212618	0
85	207304	0
86	199616	0
87	194745	0
88	189332	0
89	182546	0
90	177956	0
91	172874	0
92	167418	0
93	162710	0
94	157467	0
95	153094	0
96	148652	0
97	143866	0
98	140001	0
99	135419	0
100	131720	0
101	127085	0
102	123108	0
103	119453	0
104	116198	0
105	111465	0
106	108499	0
107	104325	0
108	101096	0
109	98253	0
110	95138	0
111	91891	0
112	88868	0
113	86051	0
114	82969	0
115	80393	0
116	77705	0
117	74130	0
118	71358	0
119	69175	0
120	67431	0
121	64619	0
122	62885	0
123	60251	0
124	57822	0
125	55968	0
126	54112	0
127	52005	0
128	50021	0
129	47747	0
130	45981	0
131	44800	0
132	42685	0
133	41359	0
134	40025	0
135	38690	0
136	37360	0
137	35421	0
138	34236	0
139	32995	0
140	31743	0
141	30413	0
142	29055	0
143	27897	0
144	26748	0
145	25577	0
146	24414	0
147	23614	0
148	22496	0
149	21372	0
150	20845	0
151	20121	0
152	19372	0
153	18347	0
154	17635	0
155	17067	0
156	15859	0
157	15558	0
158	14867	0
159	14306	0
160	14063	0
161	13067	0
162	12567	0
163	11869	0
164	11220	0
165	10986	0
166	10502	0
167	9927	0
168	9372	0
169	9060	0
170	8570	0
171	8342	0
172	8071	0
173	7476	0
174	7296	0
175	6862	0
176	6721	0
177	6203	0
178	6145	0
179	5761	0
180	5613	0
181	5283	0
182	5026	0
183	4649	0
184	4513	0
185	4180	0
186	4132	0
187	3830	0
188	3693	0
189	3590	0
190	3417	0
191	3227	0
192	3016	0
193	3021	0
194	2768	0
195	2627	0
196	2500	0
197	2416	0
198	2330	0
199	2134	0
200	54496	0

