## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/REFERENCES/xgen-exome-research-panel-targets.interval_list --TARGET_INTERVALS /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/REFERENCES/xgen-exome-research-panel-targets.interval_list --INPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/ANALYSIS/ANALYSIS01_EXOME/20260218_ANALYSIS01_EXOME/01-sarek_ND0463/preprocessing/recalibrated/ND0463/ND0463.recal.cram --OUTPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM_SV_T/ANALYSIS/ANALYSIS01_EXOME/20260218_ANALYSIS01_EXOME/99-stats/ND0463_hsMetrics.out --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE /data/ucct/bi/references/eukaria/homo_sapiens/hg19/1000genomes_b37/genome/human_g1k_v37_decoy.fasta --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 11:31:13 GMT 2026

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
xgen-exome-research-panel-targets	38874504	1	7067251586	2790206862	0	1	0	0.716945	181.796573	0.712992	0.525119	57.86263	212611851	3.479181	3.534639	3.592151	3.657879	3.721964	4.096612	38874504	3137454505	98139591	98139591	9912098691	87454073	87153754	9857458448	8782219970	5205033870	1	0.891119	0.996566	133.893255	129	2214	0	0.024564	0.109079	0	0.023805	0.019013	0.102021	0.218054	2.028686	0.929158	0.910826	0.893025	0.881341	0.869457	0.855562	0.838607	0.66748	0.068235	0.007998	0.000381	0	0	0	0	0	0	1.654154	2.275393	0.911683	11			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	2753966	0
1	712611	0
2	213729	0
3	109080	0
4	79420	0
5	68042	0
6	60703	13907
7	56527	25867
8	53984	111115
9	50540	2299450
10	49965	5581933
11	47572	14925831
12	45949	10222908
13	45452	10814195
14	44943	20060314
15	43894	7394914
16	43994	26988576
17	44002	8821562
18	44245	9686873
19	44187	4063340
20	44674	3447689
21	44442	2702513
22	44431	3643024
23	44534	5518299
24	45789	4495183
25	46603	9191650
26	46833	10613919
27	47150	16748566
28	48406	25710885
29	49109	31091665
30	49676	52674147
31	50738	512087830
32	51860	100608612
33	52730	593755860
34	53716	591741673
35	54276	656839534
36	54858	324800723
37	56120	65448574
38	56908	1049850485
39	59287	314126218
40	59750	321132061
41	60824	0
42	62360	0
43	63846	0
44	65282	0
45	67146	0
46	68260	0
47	69244	0
48	70475	0
49	71930	0
50	73815	0
51	75467	0
52	77004	0
53	78961	0
54	81249	0
55	83469	0
56	86155	0
57	87697	0
58	89994	0
59	91618	0
60	93146	0
61	95706	0
62	97402	0
63	99704	0
64	102660	0
65	104789	0
66	108024	0
67	111025	0
68	113878	0
69	116401	0
70	118328	0
71	122150	0
72	124402	0
73	127510	0
74	130639	0
75	133905	0
76	136999	0
77	139621	0
78	142738	0
79	146045	0
80	148186	0
81	151023	0
82	153762	0
83	157039	0
84	158465	0
85	162161	0
86	164709	0
87	166942	0
88	169504	0
89	172665	0
90	174668	0
91	178643	0
92	179802	0
93	182053	0
94	184320	0
95	187134	0
96	188842	0
97	191608	0
98	194439	0
99	196004	0
100	198531	0
101	200241	0
102	202314	0
103	203212	0
104	206234	0
105	207427	0
106	208582	0
107	210610	0
108	211729	0
109	213697	0
110	215874	0
111	216523	0
112	218123	0
113	219316	0
114	219906	0
115	221269	0
116	220866	0
117	222353	0
118	222137	0
119	222430	0
120	223688	0
121	224731	0
122	224528	0
123	224635	0
124	224922	0
125	226265	0
126	226363	0
127	225234	0
128	225401	0
129	225788	0
130	224304	0
131	224611	0
132	224844	0
133	224587	0
134	222670	0
135	222453	0
136	221966	0
137	220928	0
138	220560	0
139	221206	0
140	220369	0
141	220403	0
142	219297	0
143	217559	0
144	217123	0
145	215940	0
146	215280	0
147	213860	0
148	213574	0
149	210594	0
150	210429	0
151	208459	0
152	206673	0
153	205879	0
154	204998	0
155	203601	0
156	201877	0
157	200400	0
158	200097	0
159	196444	0
160	196200	0
161	194159	0
162	191742	0
163	190763	0
164	188333	0
165	187971	0
166	184893	0
167	182745	0
168	181687	0
169	179793	0
170	177740	0
171	175580	0
172	173455	0
173	171279	0
174	168966	0
175	167551	0
176	164910	0
177	163796	0
178	161861	0
179	159910	0
180	157681	0
181	155299	0
182	154255	0
183	152257	0
184	148899	0
185	147689	0
186	146319	0
187	143502	0
188	142526	0
189	140027	0
190	137576	0
191	136809	0
192	134427	0
193	132186	0
194	130720	0
195	129261	0
196	126938	0
197	124922	0
198	122902	0
199	121229	0
200	6655300	0

