gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000000003	TSPAN6	4	8	5	4
ENSG00000000005	TNMD	0	0	0	0
ENSG00000000419	DPM1	89	92	386	47
ENSG00000000457	SCYL3	204.999	205	299	275
ENSG00000000460	C1orf112	42	72.001	38.999	39
ENSG00000000938	FGR	5676	6339.999	4855.001	7517
ENSG00000000971	CFH	4	15	6	5
ENSG00000001036	FUCA2	245	179	264	250
ENSG00000001084	GCLC	216.998	166.001	370	200
ENSG00000001167	NFYA	423	381	392	361
ENSG00000001460	STPG1	63.999	39	19	61
ENSG00000001461	NIPAL3	998	782.999	541	727
ENSG00000001497	LAS1L	437.999	360	515	375
ENSG00000001561	ENPP4	57	59	295	26
ENSG00000001617	SEMA3F	0	1	283.001	3
ENSG00000001626	CFTR	0	0	0	0
ENSG00000001629	ANKIB1	314.999	244	879.001	148.001
ENSG00000001630	CYP51A1	102	70	317	74
ENSG00000001631	KRIT1	245.096	187.047	447.464	110.649
ENSG00000002016	RAD52	142.998	104.999	119.271	78
ENSG00000002079	MYH16	0	0	0	0
ENSG00000002330	BAD	248	158.002	237	240.001
ENSG00000002549	LAP3	677	422	601.999	1055.001
ENSG00000002586	CD99	2769.001	1814	1802.999	2166.001
ENSG00000002587	HS3ST1	118	31	240	23
ENSG00000002726	AOC1	58	54	3	257
ENSG00000002745	WNT16	13	4	4	3
ENSG00000002746	HECW1	1	0	0	0
ENSG00000002822	MAD1L1	809.748	504.397	755.464	741.702
ENSG00000002834	LASP1	6581	5787.999	6040.001	8932.998
ENSG00000002919	SNX11	485.001	525	348.999	524.001
ENSG00000002933	TMEM176A	637	358	115.001	1518
ENSG00000003056	M6PR	2369.001	1821.999	1733.999	1804
ENSG00000003096	KLHL13	4	7	11	3
ENSG00000003137	CYP26B1	0	1	0	89
ENSG00000003147	ICA1	31	35	15	24
ENSG00000003249	DBNDD1	196	111	3	85
ENSG00000003393	ALS2	131	153.999	216	104
ENSG00000003400	CASP10	864	775	600.001	910.999
ENSG00000003402	CFLAR	3314.997	5678.689	8434.646	4585.99
ENSG00000003436	TFPI	4	3	333.001	7
ENSG00000003509	NDUFAF7	130	92	321.999	64
ENSG00000003756	RBM5	2971.997	2515.402	3060.001	2313
ENSG00000003987	MTMR7	0	0	1	0
ENSG00000003989	SLC7A2	0	1	0	0
ENSG00000004059	ARF5	1845.999	1239.887	1583.46	1669
ENSG00000004139	SARM1	486.667	565	405.656	384.761
ENSG00000004142	POLDIP2	763	526	756	745
ENSG00000004399	PLXND1	1098.999	1081	1737.001	1342
ENSG00000004455	AK2	1150.786	805.946	1014.001	905.964
ENSG00000004468	CD38	354	185	765	403
ENSG00000004478	FKBP4	876	535.999	237	698
ENSG00000004487	KDM1A	727.999	481.001	895.999	553.999
ENSG00000004534	RBM6	1207.999	1264.6	1559.999	1402
ENSG00000004660	CAMKK1	214	187.001	887	244
ENSG00000004700	RECQL	340	251.999	562	180
ENSG00000004766	VPS50	142	104	228	68
ENSG00000004776	HSPB6	6	1	0	5
ENSG00000004777	ARHGAP33	110	169.001	81	153
ENSG00000004779	NDUFAB1	214.999	122	203	139
ENSG00000004799	PDK4	210	86	205	137
ENSG00000004809	SLC22A16	13	18	14	14
ENSG00000004838	ZMYND10	11	17	1	14.001
ENSG00000004846	ABCB5	0	0	1	0
ENSG00000004848	ARX	0	0	0	0
ENSG00000004864	SLC25A13	91	46.999	494.999	73
ENSG00000004866	ST7	82	68	91	98
ENSG00000004897	CDC27	300.999	222	1386.999	198.001
ENSG00000004939	SLC4A1	11294.001	5657	2	25942
ENSG00000004948	CALCR	0	0	0	0
ENSG00000004961	HCCS	192	102	190	150
ENSG00000004975	DVL2	509.999	365	596.998	404.999
ENSG00000005001	PRSS22	0	5	55	1
ENSG00000005007	UPF1	2770	2699.002	2641.002	2807.999
ENSG00000005020	SKAP2	566	713	161	1077
ENSG00000005022	SLC25A5	1913.999	1007	2043	1310
ENSG00000005059	MCUB	537.999	274	1156.999	296.906
ENSG00000005073	HOXA11	0	0	0	0
ENSG00000005075	POLR2J	526.284	327.211	525.733	416.022
ENSG00000005100	DHX33	216.615	177.001	302	121.001
ENSG00000005102	MEOX1	27	13	0	20
ENSG00000005108	THSD7A	3	0	1	1
ENSG00000005156	LIG3	384	335.999	577.002	289
ENSG00000005175	RPAP3	182	177.999	253	105
ENSG00000005187	ACSM3	87	41	289.999	80
ENSG00000005189	REXO5	11	13	7	24
ENSG00000005194	CIAPIN1	442.001	271.001	450.999	313.001
ENSG00000005206	SPPL2B	1200.293	805	3023.412	877.001
ENSG00000005238	FAM214B	936	934	998.002	1380.001
ENSG00000005243	COPZ2	11	21.999	12	8
ENSG00000005249	PRKAR2B	511	276	73	315
ENSG00000005302	MSL3	1060.001	964.001	3285.987	1030.999
ENSG00000005339	CREBBP	3191.999	2820	7371.999	3031.995
ENSG00000005379	TSPOAP1	268.999	842	1453	419
ENSG00000005381	MPO	92	202	68	225
ENSG00000005421	PON1	0	0	0	0
ENSG00000005436	GCFC2	86.999	58	210.999	37
ENSG00000005448	WDR54	145	84.001	142	95.001
ENSG00000005469	CROT	66	77	54.001	55
