gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000000003	TSPAN6	0.022416	0.199128	0.097912	0.051961
ENSG00000000005	TNMD	0	0	0	0
ENSG00000000419	DPM1	2.114852	3.119868	30.225013	1.349803
ENSG00000000457	SCYL3	1.157727	1.737686	5.45999	1.546853
ENSG00000000460	C1orf112	0.379615	0.756188	0.942588	0.335731
ENSG00000000938	FGR	55.831415	96.064155	204.867014	92.578575
ENSG00000000971	CFH	0.020379	0.160517	0.091576	0.125554
ENSG00000001036	FUCA2	2.295017	2.56873	9.155308	2.967798
ENSG00000001084	GCLC	2.016616	3.249005	11.537748	3.057301
ENSG00000001167	NFYA	2.959712	4.0583	9.941636	3.163191
ENSG00000001460	STPG1	0.619128	0.743888	0.728934	0.784859
ENSG00000001461	NIPAL3	5.149966	5.760099	12.596961	4.730081
ENSG00000001497	LAS1L	3.972789	4.479016	15.553535	4.325757
ENSG00000001561	ENPP4	0.256788	0.392634	4.643554	0.150136
ENSG00000001617	SEMA3F	0	0.050804	7.189853	0.097413
ENSG00000001626	CFTR	0	0	0	0
ENSG00000001629	ANKIB1	1.684943	1.9782	24.913223	1.012458
ENSG00000001630	CYP51A1	0.809523	0.799865	8.0511	0.640952
ENSG00000001631	KRIT1	2.802121	3.312632	16.651601	1.295206
ENSG00000002016	RAD52	2.229032	2.425107	4.300215	2.054108
ENSG00000002079	MYH16	0	0	0	0
ENSG00000002330	BAD	7.4916	7.314297	26.710765	8.661356
ENSG00000002549	LAP3	8.241713	7.898982	28.109229	16.113571
ENSG00000002586	CD99	58.437093	57.677555	135.170655	59.311007
ENSG00000002587	HS3ST1	1.20532	0.344628	8.133542	0.084961
ENSG00000002726	AOC1	0.472135	0.648691	0.092713	2.701899
ENSG00000002745	WNT16	0.087993	0.086666	0.094621	0.026028
ENSG00000002746	HECW1	0.010016	0	0	0
ENSG00000002822	MAD1L1	21.503493	20.868593	77.091223	25.790414
ENSG00000002834	LASP1	37.096195	48.961736	126.184715	62.803203
ENSG00000002919	SNX11	4.864115	7.848623	13.672072	6.828908
ENSG00000002933	TMEM176A	12.296924	10.240714	9.634079	38.769151
ENSG00000003056	M6PR	27.402029	29.977494	164.371594	23.562716
ENSG00000003096	KLHL13	0.03699	0.062115	0.245969	0.026455
ENSG00000003137	CYP26B1	0	0.006526	0	0.504
