chrom	length	bases	mean	min	max
1	249250621	8160129823	32.74	0	7056
1_region	249250621	8160129823	32.74	0	7056
2	243199373	8633902599	35.50	0	29182
2_region	243199373	8633902599	35.50	0	29182
3	198022430	7017996482	35.44	0	1076
3_region	198022430	7017996482	35.44	0	1076
4	191154276	6773533703	35.43	0	3939
4_region	191154276	6773533703	35.43	0	3939
5	180915260	6438533929	35.59	0	3296
5_region	180915260	6438533929	35.59	0	3296
6	171115067	6082776072	35.55	0	25083
6_region	171115067	6082776072	35.55	0	25083
7	159138663	5600692166	35.19	0	4943
7_region	159138663	5600692166	35.19	0	4943
8	146364022	5254397587	35.90	0	20589
8_region	146364022	5254397587	35.90	0	20589
9	141213431	4265646864	30.21	0	1559
9_region	141213431	4265646864	30.21	0	1559
10	135534747	4710798305	34.76	0	1753
10_region	135534747	4710798305	34.76	0	1753
11	135006516	4708925451	34.88	0	2172
11_region	135006516	4708925451	34.88	0	2172
12	133851895	4729793469	35.34	0	29584
12_region	133851895	4729793469	35.34	0	29584
13	115169878	3454745814	30.00	0	533
13_region	115169878	3454745814	30.00	0	533
14	107349540	3215329771	29.95	0	1497
14_region	107349540	3215329771	29.95	0	1497
15	102531392	2959757858	28.87	0	8336
15_region	102531392	2959757858	28.87	0	8336
16	90354753	3086793342	34.16	0	29517
16_region	90354753	3086793342	34.16	0	29517
17	81195210	2796286277	34.44	0	5972
17_region	81195210	2796286277	34.44	0	5972
18	78077248	2719509098	34.83	0	8679
18_region	78077248	2719509098	34.83	0	8679
19	59128983	1973674352	33.38	0	896
19_region	59128983	1973674352	33.38	0	896
20	63025520	2143056505	34.00	0	951
20_region	63025520	2143056505	34.00	0	951
21	48129895	1346501123	27.98	0	5872
21_region	48129895	1346501123	27.98	0	5872
22	51304566	1257305588	24.51	0	669
22_region	51304566	1257305588	24.51	0	669
X	155270560	5291992272	34.08	0	19089
X_region	155270560	5291992272	34.08	0	19089
Y	59373566	22978672	0.39	0	2846
Y_region	59373566	22978672	0.39	0	2846
MT	16569	22988959	1387.47	587	1597
MT_region	16569	22988959	1387.47	587	1597
GL000207.1	4262	169967	39.88	0	102
GL000207.1_region	4262	169967	39.88	0	102
GL000226.1	15008	132911968	8856.07	24	28713
GL000226.1_region	15008	132911968	8856.07	24	28713
GL000229.1	19913	1281640	64.36	1	104
GL000229.1_region	19913	1281640	64.36	1	104
GL000231.1	27386	1774968	64.81	0	174
GL000231.1_region	27386	1774968	64.81	0	174
GL000210.1	27682	533373	19.27	0	63
GL000210.1_region	27682	533373	19.27	0	63
GL000239.1	33824	4257518	125.87	1	557
GL000239.1_region	33824	4257518	125.87	1	557
GL000235.1	34474	2498207	72.47	1	285
GL000235.1_region	34474	2498207	72.47	1	285
GL000201.1	36148	644108	17.82	0	43
GL000201.1_region	36148	644108	17.82	0	43
GL000247.1	36422	2133790	58.59	0	222
GL000247.1_region	36422	2133790	58.59	0	222
GL000245.1	36651	2315874	63.19	0	211
GL000245.1_region	36651	2315874	63.19	0	211
GL000197.1	37175	706922	19.02	0	47
GL000197.1_region	37175	706922	19.02	0	47
GL000203.1	37498	893543	23.83	0	88
GL000203.1_region	37498	893543	23.83	0	88
GL000246.1	38154	736235	19.30	0	60
GL000246.1_region	38154	736235	19.30	0	60
GL000249.1	38502	698723	18.15	0	40
GL000249.1_region	38502	698723	18.15	0	40
GL000196.1	38914	693800	17.83	0	37
